attendance,internal_marks,behavior_score,study_hours,final_result,risk_level
78,95,5,0.6,1,Low
91,48,5,0.6,0,Medium
68,36,7,3.9,0,High
54,92,5,0.6,0,High
82,71,6,6.0,1,Low
47,71,9,1.5,0,High
60,88,3,4.4,0,Medium
78,49,3,1.4,0,Medium
97,46,8,3.5,0,Medium
58,56,6,0.9,0,High
62,76,3,4.7,0,Medium
50,31,2,3.7,0,High
50,92,2,1.0,0,High
63,91,2,5.2,0,High
92,48,5,3.5,0,Medium
75,46,5,5.6,0,Medium
79,98,1,5.5,0,High
63,68,2,5.6,0,High
42,68,2,0.9,0,High
61,65,4,1.2,0,Medium
92,69,7,5.9,1,Low
41,74,3,3.2,0,High
63,33,5,1.8,0,High
83,54,9,4.7,0,Medium
69,98,5,2.0,0,Medium
77,59,9,4.5,1,Medium
41,97,1,5.1,0,High
99,58,9,4.8,1,Medium
60,97,5,2.0,0,Medium
72,80,8,2.7,1,Medium
51,53,5,2.8,0,High
97,43,6,3.2,0,High
61,98,8,1.4,0,Medium
83,47,2,3.0,0,High
64,71,3,3.3,0,Medium
88,86,9,3.4,1,Low
66,41,5,5.0,0,High
98,46,5,3.3,0,Medium
81,59,9,1.8,1,Medium
67,52,3,4.1,0,Medium
99,30,4,4.9,0,High
55,61,7,2.3,0,High
54,38,2,4.0,0,High
86,44,8,1.3,0,High
90,57,5,2.4,1,Medium
83,53,1,5.5,0,High
94,89,3,5.5,0,Low
91,64,9,3.7,1,Low
96,56,5,4.4,1,Medium
42,49,8,5.2,0,High
76,94,1,5.8,0,High
90,78,7,3.2,1,Low
46,30,7,3.6,0,High
60,39,8,2.8,0,High
48,76,3,0.9,0,High
78,88,1,2.8,0,High
57,91,9,4.8,0,High
43,47,1,4.9,0,High
64,75,6,5.4,0,Medium
99,61,9,0.8,1,Low
53,56,2,3.4,0,High
89,47,4,1.1,0,Medium
97,68,2,1.6,0,High
48,78,4,5.5,0,High
65,73,2,3.2,0,High
92,83,1,4.7,0,High
41,63,3,0.9,0,High
59,65,8,2.8,0,High
67,47,5,4.2,0,Medium
86,67,4,1.2,1,Low
99,88,5,2.3,1,Low
46,38,6,0.9,0,High
83,80,6,4.1,1,Low
47,64,5,5.8,0,High
86,34,6,5.0,0,High
74,43,9,5.9,0,High
53,59,5,5.2,0,High
56,33,6,5.2,0,High
75,68,4,3.7,1,Low
89,93,3,3.4,0,Low
79,54,6,2.7,0,Medium
43,57,5,5.0,0,High
41,95,4,1.5,0,High
45,51,5,0.8,0,High
93,60,7,5.7,1,Low
81,52,1,0.5,0,High
43,77,1,5.9,0,High
93,49,1,4.5,0,High
